Name,Category,Severity,Resource Display Name,Resource Path,Resource Type
organizations/742653001909/sources/10727936039797582722/locations/global/findings/0af9f858aaeee2ae00e3795ae428f2df,OS_VULNERABILITY,2,linux-vm,//compute.googleapis.com/projects/agentic-9999/zones/us-central1-c/instances/linux-vm,GCE Instance
organizations/742653001909/sources/10727936039797582722/locations/global/findings/2b42681c248028d167c5209e040bc394,OS_VULNERABILITY,2,ssc-vm,//compute.googleapis.com/projects/ssc-project-999/zones/asia-south1-c/instances/ssc-vm,GCE Instance
organizations/742653001909/sources/10727936039797582722/locations/global/findings/3318a57b663d4a44a5ecd736f7c41902,OS_VULNERABILITY,1,ssc-vm,//compute.googleapis.com/projects/ssc-project-999/zones/asia-south1-c/instances/ssc-vm,GCE Instance
organizations/742653001909/sources/10727936039797582722/locations/global/findings/573f02ac27ec768a2b24c9d42dde013b,OS_VULNERABILITY,2,ssc-vm,//compute.googleapis.com/projects/ssc-project-999/zones/asia-south1-c/instances/ssc-vm,GCE Instance
organizations/742653001909/sources/10727936039797582722/locations/global/findings/780e82114c00e7789bcba3ab987119bf,OS_VULNERABILITY,2,linux-vm,//compute.googleapis.com/projects/agentic-9999/zones/us-central1-c/instances/linux-vm,GCE Instance
organizations/742653001909/sources/10727936039797582722/locations/global/findings/909ec8aaee50c1af0ab291b217c43cb4,OS_VULNERABILITY,2,linux-vm,//compute.googleapis.com/projects/agentic-9999/zones/us-central1-c/instances/linux-vm,GCE Instance
organizations/742653001909/sources/10727936039797582722/locations/global/findings/a077523d6d0ad8d6c3c78cf4c63008bb,OS_VULNERABILITY,2,ssc-vm,//compute.googleapis.com/projects/ssc-project-999/zones/asia-south1-c/instances/ssc-vm,GCE Instance
organizations/742653001909/sources/10727936039797582722/locations/global/findings/c3173c502572797b733376c37d75a86b,OS_VULNERABILITY,2,ssc-vm,//compute.googleapis.com/projects/ssc-project-999/zones/asia-south1-c/instances/ssc-vm,GCE Instance
organizations/742653001909/sources/10727936039797582722/locations/global/findings/ddac1f1c22b6577909679cf9dce15968,OS_VULNERABILITY,2,linux-vm,//compute.googleapis.com/projects/agentic-9999/zones/us-central1-c/instances/linux-vm,GCE Instance
organizations/742653001909/sources/10727936039797582722/locations/global/findings/eef0f7d04daad6d4a288596ab99d5189,OS_VULNERABILITY,1,linux-vm,//compute.googleapis.com/projects/agentic-9999/zones/us-central1-c/instances/linux-vm,GCE Instance
organizations/742653001909/sources/17421250793690652372/locations/global/findings/96e67d41c8932f49cccadeefad042077,Multi-factor authentication disabled or bypassed for an account with permissions to set project IAM policies.,2,gcpcloudhub.shop,gcpcloudhub.shop,Other
organizations/742653001909/sources/3344967813459848552/locations/global/findings/004b00f0b8e5a74906e1de6d8695f5e4,FLOW_LOGS_DISABLED,4,subnet-asia,//compute.googleapis.com/projects/ssc-project-999/regions/asia-south1/subnetworks/subnet-asia,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/008e242d0329db17c37676b21959e4eb,FIREWALL_NOT_MONITORED,4,1056245351413,//cloudresourcemanager.googleapis.com/projects/1056245351413,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/00da3647c5e416637ca04857e2db9d88,OPEN_DIRECTORY_SERVICES_PORT,2,anywhere,//compute.googleapis.com/projects/load-balancer-host-project/global/firewalls/anywhere,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/010f459266df29ad7236e81a243a9be0,PRIVATE_GOOGLE_ACCESS_DISABLED,4,default,//compute.googleapis.com/projects/ssc-project-999/regions/us-south1/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/0228acd6abe43f5bf44f8ae3521867fa,FLOW_LOGS_DISABLED,4,default,//compute.googleapis.com/projects/agentic-9999/regions/us-west4/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/027348cc26759fd915f91d090186c572,COMPUTE_SECURE_BOOT_DISABLED,3,vm-eu,//compute.googleapis.com/projects/load-balancer-service-project/zones/europe-west1-d/instances/vm-eu,GCE Instance
organizations/742653001909/sources/3344967813459848552/locations/global/findings/02eb75afe2cdca8cb307a7ee76ded303,PRIVATE_GOOGLE_ACCESS_DISABLED,4,default,//compute.googleapis.com/projects/agentic-9999/regions/europe-west9/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/036e9e6e5e0db309eb451dca9159061a,FLOW_LOGS_DISABLED,4,default,//compute.googleapis.com/projects/agentic-9999/regions/europe-southwest1/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/03ac658f2ca944084dc26d3e38219cec,FLOW_LOGS_DISABLED,4,default,//compute.googleapis.com/projects/agentic-9999/regions/us-east5/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/046e09cac9d5ad1aaa43de709f10a003,PRIVATE_GOOGLE_ACCESS_DISABLED,4,default,//compute.googleapis.com/projects/ssc-project-999/regions/europe-west8/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/04efb8d2f80e478e7b17219bea4e9bc0,API_KEY_APPS_UNRESTRICTED,3,1056245351413,//cloudresourcemanager.googleapis.com/projects/1056245351413,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/0518754ca7a778fb3582761a25945566,DEFAULT_SERVICE_ACCOUNT_USED,3,vm-eu,//compute.googleapis.com/projects/load-balancer-service-project/zones/europe-west1-d/instances/vm-eu,GCE Instance
